month_start,year,month,year_month,state,fatalities
1991-02-01,1991,2,1991-02,SA,18
1991-02-01,1991,2,1991-02,TAS,8
1991-02-01,1991,2,1991-02,VIC,39
1991-02-01,1991,2,1991-02,WA,11
1991-03-01,1991,3,1991-03,ACT,1
1991-03-01,1991,3,1991-03,NSW,52
1991-03-01,1991,3,1991-03,NT,1
1991-03-01,1991,3,1991-03,QLD,34
1991-03-01,1991,3,1991-03,SA,23
1991-03-01,1991,3,1991-03,TAS,10
1991-03-01,1991,3,1991-03,VIC,70
1991-03-01,1991,3,1991-03,WA,14
1991-04-01,1991,4,1991-04,ACT,5
1991-04-01,1991,4,1991-04,NSW,59
1991-04-01,1991,4,1991-04,NT,8
1991-04-01,1991,4,1991-04,QLD,31
1991-04-01,1991,4,1991-04,SA,18
1991-04-01,1991,4,1991-04,TAS,10
1991-04-01,1991,4,1991-04,VIC,30
1991-04-01,1991,4,1991-04,WA,18
1991-05-01,1991,5,1991-05,ACT,1
1991-05-01,1991,5,1991-05,NSW,55
1991-05-01,1991,5,1991-05,NT,3
1991-05-01,1991,5,1991-05,QLD,38
1991-05-01,1991,5,1991-05,SA,11
1991-05-01,1991,5,1991-05,TAS,7
1991-05-01,1991,5,1991-05,VIC,34
1991-05-01,1991,5,1991-05,WA,11
1991-06-01,1991,6,1991-06,ACT,3
1991-06-01,1991,6,1991-06,NSW,52
1991-06-01,1991,6,1991-06,NT,5
1991-06-01,1991,6,1991-06,QLD,29
1991-06-01,1991,6,1991-06,SA,12
1991-06-01,1991,6,1991-06,TAS,7
1991-06-01,1991,6,1991-06,VIC,29
1991-06-01,1991,6,1991-06,WA,13
1991-07-01,1991,7,1991-07,NSW,61
1991-07-01,1991,7,1991-07,NT,8
1991-07-01,1991,7,1991-07,QLD,43
1991-07-01,1991,7,1991-07,SA,13
1991-07-01,1991,7,1991-07,TAS,4
1991-07-01,1991,7,1991-07,VIC,44
1991-07-01,1991,7,1991-07,WA,14
1991-08-01,1991,8,1991-08,ACT,2
1991-08-01,1991,8,1991-08,NSW,55
1991-08-01,1991,8,1991-08,NT,12
1991-08-01,1991,8,1991-08,QLD,34
1991-08-01,1991,8,1991-08,SA,13
1991-08-01,1991,8,1991-08,TAS,7
1991-08-01,1991,8,1991-08,VIC,47
1991-08-01,1991,8,1991-08,WA,24
1991-09-01,1991,9,1991-09,ACT,1
1991-09-01,1991,9,1991-09,NSW,59
1991-09-01,1991,9,1991-09,NT,12
1991-09-01,1991,9,1991-09,QLD,34
1991-09-01,1991,9,1991-09,SA,13
1991-09-01,1991,9,1991-09,TAS,3
1991-09-01,1991,9,1991-09,VIC,41
